functional_genre,genre_confidence,speech_act,actual_cta,narrative_structure,image_role,image_caption_relation,target_audience,appeal_type,species_mentioned,register_tone,notes,post_id,vq_aesthetic,vq_production_effort,vq_human_presence,vq_people_role,vq_visual_species,vq_colour_mood,vq_on_image_text_amount,missed_visual_flag,missed_visual_why
staff achievement celebration,high,celebrate,none,milestone,illustrative,adds-info,"supporters, general-public, local-community","emotional, identity",,warm-personal,"Post functions as an internal community celebration and staff recognition announcement, not a conservation or wildlife post. The Naankuse 'CONSERVATION' signpost is visible in the background, anchoring the brand context. No wildlife or conservation content appears in image or caption; the post is community-development framed. No CTA is present beyond the website URL. The certificates are legible and confirm the names match the caption.",DV_xrwzjCSH,competent,medium,group,"Three Naankuse staff members (John, Roberto, Pedro) posing proudly with their Level 1 Cricket Coaching certificates in front of the Naankuse Primary School building",,"warm, sun-drenched ochre and sandy tones with bright blue sky; celebratory and informal",none,False,The caption's core claim — three named staff completing a coaching course — is directly shown: three men holding named certificates of achievement in front of the Naankuse Primary School. Nothing specific is left unshown.
competition recruitment call,high,invite,"Enter the NYCE writing competition — stand a chance to win N$ 1,500, earn points and have your essay published on the NYCE website.",none,decorative,unrelated,youth,emotional|social-normative|economic,,playful,"Image is a candid or semi-staged outdoor shot of a young man; the NYCE logo watermark is the only branding. No species, no conservation content, no visual reference to the writing competition. The post functions purely as a youth-targeted recruitment/call-to-action for an essay competition, with economic incentive (N$1,500) and social incentive (publication). The playful, slightly self-aware caption voice ('We REALLY tried to find a reason') signals an informal, peer-to-peer register targeting young Namibians rather than conservation donors or tourists.",DW8ck9sijNW,competent,medium,one-person,"apparent organisation member or youth ambassador walking toward camera, waving — likely used as a relatable, energetic face for the youth audience",,"warm desert tones, bright blue sky — outdoor Namibian setting, energetic and sunny",minimal,True,"The caption makes a specific, actionable pitch (cash prize, 9-day deadline, publication reward) but the image shows only a young man walking outdoors with no visual reference to writing, competition, prizes, or a countdown — a deadline graphic, a submission screenshot, or a past winner portrait would have reinforced the urgency directly."
event invitation,high,invite,"RSVP by DM, WhatsApp or email: info@tosco.org",none,text-carrier,repeats,"peers/researchers,tourists","informational,social-normative",desert-adapted elephant; African elephant,institutional-formal,"This is a branded event-announcement graphic for a TOSCO Talks session featuring EHRA presenting on Namibia's desert-adapted elephants (31 March, 15:30–17:00, CCI Hub, Windhoek). The wildlife photograph (elephant raising trunk) functions purely as a thematic backdrop; all substantive content is delivered through on-image text. The caption 'See you there!' is a social-convention sign-off that adds nothing beyond the flyer itself. Audience is primarily industry peers — tourism and conservation partners — not the general public or donors.",DWURr-cDbzB,professional,medium,none,none,African elephant,warm sandy beige with dark-red typography; earthy and calm,text-dominant,False,"The post's purpose is an event flyer, not a claim about elephant status; the image adequately serves the promotional graphic format."
programme impact showcase,high,inform,none,showcase,illustrative,adds-info,"supporters, donors, general-public","emotional, identity",reticulated giraffe,warm-personal,"Image functions as social proof for the Twiga Wetu Initiative's school outreach arm: it shows the programme beneficiaries (students) actively using educational materials. No wildlife is visible despite the caption's focus on reticulated giraffe. The booklets the children are reading appear to feature illustrated giraffe figures, which partially bridges the gap but is too small to read clearly. The post reads as an internal programme update / impact report rather than a call to action or persuasion piece.",DR-SMDzDZx2,competent,medium,crowd,"Kenyan schoolchildren in uniform sitting on outdoor benches, engaged in reading what appear to be giraffe-themed workbooks or comic-style educational booklets — they are the subject and evidence of the programme's reach",,bright midday daylight; dominant blues of school uniforms against sandy ground and green shrubs — warm and energetic,none,True,"Caption foregrounds giraffe conservation and community-wildlife coexistence, but no giraffe appears in the frame; a split image or background habitat shot would have grounded the species claim visually."
awareness day teaser,high,announce,none,milestone,text-carrier,repeats,general-public|supporters,identity|emotional,giraffe,promotional,"Branded countdown graphic for World Giraffe Day 2026 produced by GCF. The image is a designed promotional asset — large bold typography ('STAND TALL FOR GIRAFFE / 21 JUNE 2026'), GCF logo, World Giraffe Day logo, and a photographic strip of a giraffe herd at the bottom used decoratively rather than informationally. The caption mirrors the graphic exactly and adds no additional information. No call to action is present; the post functions purely as an early-stage event teaser to build anticipation five months out. The 'more coming soon' line signals a content series is planned.",DTyJ9OpgXzm,professional,high,none,none,giraffe,warm earthy oranges and deep maroon; high-energy brand palette,text-dominant,False,"Caption makes no specific showable claim (no number, place, or before/after) beyond the countdown date, which the graphic already displays prominently."
research findings dissemination,high,inform,Click the link in our BIO to read the full paper!,explainer/list,illustrative,adds-info,general-public|peers/researchers|supporters,informational|emotional,Angolan giraffe,warm-personal,"Post announces and summarises a published field study on Angolan giraffe ecology in the pro-Namib. Five giraffes are visible in the frame against a dramatic inselberg; the caption cites a study population of 13 but does not claim all are pictured. Science-communication framing ('critical insights', 'conservation puzzle') bridges specialist findings to a lay readership. Image is unembellished field photography — no graphic overlay, no camel thorn trees visible — but the habitat context (hyper-arid landscape, sparse scrub) directly supports the paper's setting claim and adds genuine visual information the caption does not fully convey in words.",DUoOpqdjEUM,competent,medium,none,none,giraffe,"warm arid tones — burnt-orange sand, deep red volcanic rock, clear cobalt sky",none,False,Caption names camel thorn trees as the central dietary finding — a showable detail absent from the image — but the arid inselberg landscape with live animals is an appropriate and informative illustration of the paper's ecological setting; the omission does not hollow out the visual claim.
conference presence report,high,announce,none,milestone,illustrative,repeats,peers/researchers|supporters|general-public,informational|identity,giraffe; Southern giraffe,warm-personal,"This is a standard 'we attended and presented at a conference' update — its function is to signal organisational legitimacy and peer-network engagement, not to persuade the audience toward any behaviour. The giraffe visible in the frame is part of the conference slide background, not a field photograph. Human presence is two people (counted as 'one-person' field maps poorly; closer to 'group' but small). Production is competent-phone-level snapshot typical of in-the-moment conference documentation.",DV6oG8iDJKi,competent,medium,one-person,"Two GCF team members posed in front of the conference projection screen, presented as participants/presenters",giraffe (on projection screen backdrop only),"warm amber-tan savannah tones from projection, contrasted with institutional green SANParks banner; indoor conference lighting",moderate,False,The caption's key claim is that the team presented at a 220-person conference; the image shows exactly that setting — two team members in front of the Savanna Science Network 2026 screen at Kruger. No specific showable figure or before/after is ignored.
programme milestone showcase,high,announce,none,milestone,illustrative,adds-info,donors|supporters|peers/researchers,emotional|social-normative|identity,Nubian giraffe,warm-personal,"Image shows five school-age children from behind, painting a multi-giraffe mural on a light-blue exterior wall. No live animals are visible; all giraffe depictions are artwork. The post functions as an organisational milestone announcement — celebrating national-media recognition of a student mural and citing a reach figure (10,400+ learners) to signal programme scale. There is no call to action; the communicative goal is pride-sharing and donor/peer reassurance that the programme is growing. The Kenya geography is notable: this is not a Namibian organisation post, but the schema question of geographic scope is outside the rubric.",DVWk_9XDbv8,competent,medium,group,"Students shown from behind, actively painting the mural; identities not shown, focus is on the artwork rather than the individuals","giraffe (painted mural, not live animals)","warm earthy tones from the mural (rust, ochre, green) against a pale blue wall; natural light, slightly flat exposure",none,False,The caption's central showable claim — students painting a giraffe mural — is exactly what the image depicts; no specific statistic or before/after is left unillustrated.
staff training report,high,inform,none,anecdote,illustrative,repeats,"peers/researchers,supporters","informational,identity",,warm-personal,"Post functions as an internal capacity-building report shared publicly. Its purpose is to document and celebrate a staff training event at CCF, not to persuade an external audience or raise funds. Multiple staff quotes serve as social proof of value but there is no call to action. The on-image text contains a typo ('VECHICLE'). No wildlife appears in the image or caption — this is entirely an operational/human-capacity story.",DW4VErZEjmD,competent,medium,group,Conservation staff and interns participating in vehicle maintenance training; shot from inside the car cabin,,"warm natural greens and browns, high ambient daylight; bold black-and-yellow text overlay on lower third",moderate,False,"The caption's claims (hands-on vehicle training, multiple teams, named instructors) are all adequately illustrated by a photo of staff inside a vehicle during the session; no specific showable claim is left unrepresented."
program outreach inform,high,inform,Want to learn more? Visit cheetah.org,anecdote,illustrative,repeats,general-public|supporters,emotional|informational,cheetah; livestock guarding dog,warm-personal,"This appears to be a still frame from a Reel rather than a standalone photo; the subtitle 'Let's see what he does.' is a video caption overlay. The branded CCF polo shirt grounds the organisational identity. No dogs of any kind are visible in the frame despite the caption being entirely about LGD puppies. The post functions primarily as a lighthearted seasonal hook (Easter) to draw attention to the LGD conservation programme, with a soft website CTA — classic awareness/education outreach rather than fundraising or recruitment.",DXB-DjOjmZ2,competent,medium,one-person,"CCF staff member (uniform visible) presenting or narrating to camera, likely a video still/Reel thumbnail",,"warm sandy-beige with teal mesh background, bright daylight",minimal,True,"The caption centres on LGD puppies and an Easter egg hunt — a highly showable, warm human-interest moment — but the image shows only a staff member speaking to camera in a wire enclosure with no dogs, no puppies, and no Easter props visible. The specific claim ('puppies stole the spotlight') is completely absent from the frame."
wildlife programme update,high,inform,none,anecdote,illustrative,adds-info,"general-public, supporters, peers/researchers","emotional, informational",cheetah,warm-personal,"This is a field-footage update narrating an individual animal's conservation journey (capture → collar → release → wild monitoring). The caption explicitly names the EWS geofencing programme, making it simultaneously a programme explainer. The self-referential opening ('30 seconds… without trending audio') signals audience awareness typical of social-media-savvy conservation accounts. The thumbnail/still is a silhouette at sunset — emotionally resonant but the cheetah's spots and collar are not discernible, so the image is illustrative/symbolic rather than documentary. The on-image text 'TUPUKA 0H2' (collar ID or subtitle) is minimal and appears to be a video overlay, confirming this is a Reel thumbnail rather than a static post.",DXMiL7jjXgk,competent,medium,none,none,cheetah,"warm golden-orange sunset silhouette, cinematic but field-camera quality",minimal,False,"The caption describes a wild cheetah post-release and the image delivers exactly that: Tupuka silhouetted on a termite mound at golden hour, reinforcing the 'back in the wild' narrative. No specific showable claim is left unvisualised."
awareness day action list,high,invite,Visit cheetah.org,explainer/list,decorative,unrelated,general-public|supporters|donors,informational|social-normative,cheetah,warm-personal,"Classic Earth Day action-list post anchored by the 'five ways to help' format. The image appears to be a generic field-work shot repurposed as filler; it neither depicts cheetahs nor any of the five named interventions, making the visual contribution near-zero to the caption's persuasive load. The post functions primarily as a recruitment and awareness nudge directed at a broad online audience, with the website CTA as the sole concrete next step.",DXca0cil6Mk,competent,medium,one-person,"field staff or educator presenting to a small group, holding a clipboard in a sandy outdoor setting",,"warm earth tones—sandy ochre ground, muted greens, soft overcast daylight",none,True,"The caption makes five specific, showable cheetah-conservation claims—rescued cheetahs, Livestock Guarding Dogs, the Cheetah Fit Challenge—none of which appear in the image. The image shows a woman with a clipboard speaking outdoors, with no cheetah, no LGD, no fitness event branding, and no Earth Day visual hook. A cheetah or LGD image would have reinforced the conservation message directly."
partner gratitude post,high,thank,none,anecdote,illustrative,adds-info,"supporters, general-public","emotional, identity",,warm-personal,"The post's primary communicative act is publicly thanking two named external volunteers (Prof. Jan Weiss and Ann Cocks) for their educator-support visit. The caption narrates their contribution in detail (teacher training workshop, classroom modelling, volunteer structure support) and closes with a personal expression of gratitude. This is a donor/volunteer-relations post and a community-building gesture rather than a persuasion or conservation-awareness post. No wildlife is mentioned or shown. The image shows a lively outdoor classroom scene that confirms the described activity but does not introduce additional factual content beyond what the caption states.",DT_B707iWMb,competent,medium,crowd,"Children are the primary subjects, engaged in a painting activity; one adult woman in a green staff shirt assists at a table, and one adult man in olive uniform stands supervising on the left — consistent with the caption's description of a teacher trainer and school staff.",,"warm and bright — orange mud-brick wall, vivid primary-coloured chairs and children's clothing, lush green foliage backdrop; overall sunny and energetic",none,False,The caption describes classroom teaching and community support; the image shows exactly that — children painting at tables with an adult facilitator — so the visual claim is fully honoured.
job vacancy announcement,high,recruit,"For further details, please visit the NCE website at https://n-c-e.org/vacancies-and-opportunities/",none,text-carrier,repeats,local-community,informational,,institutional-formal,"The image is a direct screenshot of the full vacancy document (NCE letterhead, position details, key responsibilities, bulleted duty lists). It carries no photographic or illustrative content — it is purely a document render. The caption summarises the same information and redirects to the website. No conservation or wildlife content; this is purely an internal HR/recruitment post by the Namibian Chamber of Environment.",DTamIGPCnjn,screenshot-graphic,low,none,none,,"monochrome white-and-olive, functional",text-dominant,False,This is a job posting; no specific visual claim is made in the caption that the image fails to show. The document-as-image approach is standard for vacancy announcements.
job vacancy announcement,high,announce,"Apply via email: applications@nacso.org.na (Subject: NTI MD APPLICATION) or hand-deliver to NACSO offices, 7 Rossini Street, Windhoek; please share widely within your networks",none,text-carrier,repeats,peers/researchers,informational,,institutional-formal,"This is a straightforward recruitment post for a Managing Director at the NACSO Training Institute. The image is a designed graphic layering the full job advertisement text over an AI-generated or stock Namibian savannah landscape. The landscape is purely decorative/brand-dressing; all substantive content is text. No wildlife, conservation data, or human subjects appear in the frame. The caption mirrors the image text almost verbatim, adding only emoji formatting and a network-sharing request. No conservation persuasion frame is present.",DTfkmjZiIqB,competent,medium,none,not applicable,,"warm golden-brown savannah with muted blue-grey sky; low-saturation, earthy",text-dominant,False,No specific showable conservation claim is made; the post is a recruitment notice and the landscape backdrop is a conventional graphic design choice rather than an evidential opportunity.
women-in-science showcase,high,celebrate,visit cheetah.org,showcase,illustrative,adds-info,"general-public,supporters,donors","identity,emotional,informational",cheetah,warm-personal,"Four-panel collage format with a centred text overlay reading 'Meet some of the WOMEN in SCIENCE at CCF' — the image carries its own headline, making the collage essentially a self-contained visual unit. The post functions as a celebratory staff/identity showcase tied to a women-in-science framing (likely timed to an awareness day such as International Day of Women and Girls in Science, though not named explicitly). The quote from Dr. Laurie Marker adds institutional authority. The CTA to cheetah.org is soft/informational rather than a fundraising or ticket-purchase ask. One cheetah cub is visible in the lower-left panel being fed by a researcher.",DUq4ZLtj73l,competent,medium,group,"staff/researchers shown active in fieldwork roles, used as protagonists of the narrative",cheetah,warm ochre/terracotta field tones with a high-contrast black title card using white and yellow text,moderate,False,"The caption's core claim — women doing fieldwork at CCF — is directly shown through four panels depicting women using binoculars, operating a radio/phone in the field, feeding a cheetah, and standing in the Namibian savanna. No specific statistic or before/after goes unillustrated."
beneficiary spotlight,high,narrate,none,anecdote,illustrative,adds-info,"supporters,donors,tourists,general-public","emotional,identity",,warm-personal,"Image appears to be a video still (widescreen crop, on-shirt mic, TOSCO logo on shirt). The post functions as a human-interest profile / beneficiary spotlight, not conservation advocacy in the traditional sense. The narrative arc — urban work → return to homeland → agroforestry success → community inspiration — is a classic livelihood-outcomes story used to demonstrate programme impact to donors and supporters. No wildlife species mentioned or visible; this is squarely in the regenerative agriculture / community livelihood domain.",DV1dpcLjf4m,competent,medium,one-person,"subject/protagonist — Lesley Rhyn, the featured farmer, seated and smiling in the garden; appears to be filmed for video content (lavalier mic visible on shirt)",,warm greens and earth tones; bright midday sun; lush garden background contrasts arid Namibian setting,minimal,True,"Caption names a concrete outcome — vegetables sold to three lodges — but the image shows only the farmer smiling; no produce, no garden close-up, and no lodge context that would make the commercial success claim visible."
partner series launch,high,announce,Tap the link in our bio to watch and subscribe for more partner stories and conservation insights,milestone,illustrative,repeats,general-public|supporters,informational|identity,panda,promotional,"The image is a slightly blurred, candid-style portrait of a woman in a teal jacket standing next to a WWF roller-banner in a garden setting. The panda is the WWF logo, not a real animal — species_mentioned reflects the caption rhetorical hook ('🐼'), not an animal shown in context. The post functions primarily as a series launch announcement driving traffic to a YouTube/video link via bio. No Namibia-specific visual content appears despite the caption's geographic framing.",DVIyH5WjD2M,competent,medium,one-person,"likely a representative or spokesperson posing beside the WWF logo banner, serving as a face for the partnership announcement","giant panda (logo only, not a live animal)","fresh green and natural tones, informal outdoor setting",none,True,"The caption announces a new 'Did You Know: WWF Edition' video series about Namibian conservation impact, but the image shows only a person posing beside a WWF banner — no Namibian wildlife, landscapes, or community work is shown. A frame from the actual video episode or a wildlife shot from Namibia would have substantiated the conservation claim visually."
volunteer recruitment ad,high,recruit,Apply now via the link for full details: https://www.naankuse.org/careers,none,text-carrier,repeats,youth,emotional|identity,horse,warm-personal,Classic recruitment graphic: emotion-first photography (golden-hour silhouette) combined with a bold 'We're Hiring' text overlay and branded footer bar specifying the role. The image is decorative-plus-text-carrier rather than informational; it sets an aspirational mood rather than showing actual N/a'an ku sê equine facilities. The caption uses identity appeal ('if horses light up your soul') and a light pun ('take the reins') consistent with warm-personal tone. No persuasion about conservation impact; the sole function is attracting volunteer applicants.,DVqcuKHmK2G,professional,high,one-person,"aspirational figure — silhouetted woman touching horse nose, representing the target intern",horse,"warm amber/golden-hour silhouette, aspirational and romantic",moderate,False,"The caption makes no specific showable claim (no numbers, locations, or before/after); the silhouette image adequately evokes the horse-human bond the caption appeals to."
staff story fundraise,high,narrate,"If you would like to help us continue investing in education and changing lives, you can support the Naankuse Foundation Schools here: https://naankusefoundation.salsalabs.org/naankuseprimaryschool0/index.html",anecdote,illustrative,repeats,"donors,supporters,general-public","emotional,identity",,warm-personal,"Branded 'Weekly Teacher Spotlight' series card. Image carries the subject's name, title, and a tagline ('From cleaner to classroom leader') that distils the caption's arc. The portrait adds a face to the story but no new information beyond the caption. The donation link appears only in the caption, making this a soft donor-appeal wrapped in a human-interest staff profile. No wildlife or conservation content; the N/a'an ku sê Foundation's education/community dimension is the sole subject. No species present in image or caption.",DXEY-ltlqzA,competent,medium,one-person,"subject of the spotlight — Helena Frans, named pre-primary teacher, facing camera in uniform/fleece, presented as the protagonist of the story",,muted earth greens and cream; institutional but warm,moderate,False,"The caption is a personal journey narrative without specific showable claims (no before/after location, no data, no classroom scene demanded); a portrait headshot is a conventional and adequate choice for a staff spotlight format."
program showcase,high,inform,none,showcase,illustrative,adds-info,"general-public, supporters, donors","emotional, identity",,warm-personal,"The Attenborough quote functions as a philosophical anchor that legitimises the SEED Project's community-education rationale, not as a persuasion device aimed at the viewer. No conservation species appear anywhere; the post foregrounds the human and community dimension of conservation. The hand-raise is the strongest visual signifier of active learning and was likely selected deliberately. The outdoor rocky setting (likely Spitzkoppe or similar inselberg) distinguishes this from a conventional classroom scene and subtly reinforces the environmental context without showing wildlife.",DS1zuecDLC0,competent,medium,group,"Rural youth participants in an outdoor environmental education session; one child is raising a hand, signalling active engagement and participation",,"Warm earth tones — orange granite boulders, golden natural wood benches, soft afternoon sidelight",none,False,"Caption makes no specific showable claims (no numbers, locations, or before/after comparisons); the image appropriately illustrates the education session in action."
audience engagement quiz,high,invite,Drop your guess in the comments 👇,none,illustrative,adds-info,"general-public, supporters","emotional, identity",raptor,warm-personal,"Classic engagement-bait format: a high-quality wildlife photograph withholds species identification to invite comment interaction. The bird appears to be a Red-necked Falcon (rufous crown, yellow cere, barred underparts, yellow feet) perched on a bare branch against an open sky — a strong, uncluttered composition. The caption mirrors the image rather than adding factual content, so image_caption_relation is coded as 'adds-info' in the sense that the image supplies the visual evidence the caption's quiz question depends on. No persuasive conservation argument is made; the function is purely audience engagement through species identification.",DTCaWV3DqXt,professional,high,none,n/a,Red-necked Falcon (Falco chicquera),"cool blue-grey sky, warm golden light on bird, muted brown tones — calm and clean",none,False,"The caption makes no specific showable claim beyond the visual itself; the image fully delivers what the caption describes — a raptor perched high, alert."
research visit acknowledgement,high,thank,none,anecdote,illustrative,repeats,peers/researchers,informational,,institutional-formal,"Post functions as a public thank-you note documenting a guest seminar on desert pavement mapping. No wildlife, no conservation advocacy, no call to action. The image is a snapshot taken on a phone in an informal indoor setting; the projected slide title is legible and corroborates the caption. Production effort is low but fit for purpose. Audience is primarily professional/research peers who would recognise the names or institutions.",DTczhoqCMi3,competent,low,group,subjects being thanked — professor and PhD student posing in front of their presentation slide,,"neutral warm — terracotta floor tiles, muted indoor lighting",minimal,False,"The caption makes no specific showable claim (no numbers, maps, or before/after) beyond describing a seminar visit; a photo of the two presenters in front of their projected title slide adequately documents the event."
awareness day celebration,high,commemorate,none,milestone,illustrative,adds-info,general-public|supporters,emotional|identity,flamingo,warm-personal,"Caption appears truncated ('Happy ') but the image prop clearly reads 'World Wetlands Day', making the occasion identifiable. The post marks a community/participatory birdwatching event for World Wetlands Day. No live flamingos visible; species presence is representational via prop only. Mixed demographic crowd suggests outreach across tourist, local-community, and youth audiences.",DUQylVEiPWw,competent,medium,crowd,"Mixed group of participants — adults, children, at least one uniformed ranger — posing together at an outdoor birdwatching event, holding a pink flamingo cardboard cutout labelled 'World Wetlands Day'","flamingo (cardboard prop only, no live animals)","bright, sunny, upbeat — vivid blue sky, lush green bush, pink prop",minimal,False,Caption is a truncated greeting with no specific showable claim; the group photo with the flamingo prop adequately communicates the celebratory event context.
awareness day commemoration,high,commemorate,Let's celebrate these incredible water giants and commit to safeguarding the wetlands and rivers they depend on.,none,text-carrier,repeats,"general-public,peers/researchers,supporters","emotional,identity",hippopotamus,warm-personal,"A co-branded awareness-day graphic produced jointly by six Namibian conservation organisations (NACSO, Community Conservation Namibia, WWF, IRDNC, Community Leaders Network, TOSCO), all of whose logos appear as a header strip. The image is a high-quality close-up of a hippo half-submerged in water — atmospheric and well-composed — overlaid with 'World Hippo Day / 15 February' in a handwritten-style font. The caption adds ecological context (ecosystem role, CBNRM framing, specific river systems) that the image does not show, but none of those claims are specific or quantifiable enough to count as a missed visual opportunity. The post's function is primarily to mark the calendar day and signal coalition membership, not to persuade or inform beyond general awareness.",DUxWaDAiHXN,professional,medium,none,none,hippopotamus,muted blue-grey water tones with warm russet skin; calm and immersive,minimal,False,"The caption names specific river systems (Kunene, Kavango, Kwando, Zambezi) but makes no quantitative or before/after claim that the image is obliged to show; the close-up hippo face adequately illustrates the subject."
peer network report,high,inform,none,milestone,illustrative,adds-info,"peers/researchers, supporters","social-normative, identity",,institutional-formal,"Post functions as an organisational visibility report directed at peers and supporters rather than the general public. The drone-angle group shot confirms the scale of the symposium (caption says '70+ delegates') and signals the organisation's embeddedness in continental conservation networks. The applause of Tusk Trust at the end is a public acknowledgement gesture, not a persuasive appeal. No wildlife is present in image or caption; the conservation frame is carried entirely by context.",DV8qrmUDGoW,professional,high,crowd,Symposium delegates (conservation professionals from across Africa) posed as a group for a formal conference photo; some wear lanyards/ID badges.,,"warm savanna tones — sandy ground, golden-green grassland, overcast blue-grey sky; clothing creates a colourful mid-register focal band",none,False,Caption describes a multi-organisation gathering; the aerial group photo of ~70 delegates in a bush setting directly evidences that claim. No specific numeric or before/after claim is left unshown.
event news report,high,inform,none,anecdote,illustrative,repeats,general-public,informational,,institutional-formal,"This is a straightforward institutional news post reporting a government event — a ministerial speech at a facility handover. The post functions as a news bulletin rather than advocacy or persuasion; the environmental education angle is relayed as reported speech, not a direct appeal to the audience. No wildlife or conservation fieldwork is visible. The Ministry of Environment, Forestry & Tourism branding dominates the backdrop, confirming official government context.",DWd8TPlCGNF,competent,medium,group,Minister Indileni Daniel stands addressing attendees; three male officials seated at the table beside her in a formal government event setting,,"dark green institutional backdrop, muted earth tones, low contrast lighting — formal and governmental",minimal,True,"The caption announces the inauguration of a physical Solid Waste Management Facility at Etosha National Park — a concrete, showable infrastructure asset — but the image shows only the ministerial speech at a branded backdrop, not the facility itself."
policy milestone announcement,high,announce,none,milestone,illustrative,adds-info,"peers/researchers, policymakers, supporters","informational, identity",,institutional-formal,"The three framed certificates are legible enough to read 'NamibRand Nature Reserve', 'Canyon Nature Park', and 'ProNamib Nature Reserve', which directly corroborates the caption's checklist — this is a genuine informational add. No wildlife or landscapes are visible; the post is entirely about the policy/institutional milestone. No call to action is present. The 30×30 biodiversity target reference situates the post within the global Kunming-Montreal framework, signalling an audience that includes conservation peers and policymakers more than general public or tourists.",DWjdIZtjHgI,competent,medium,group,Representatives of the three certified reserves holding framed Certificates of Recognition issued by the Namibian Ministry of Environment; they are the identifiable subjects of the certification event.,,"warm natural tones — terracotta wall, sandy khaki clothing, soft afternoon light, green foliage background",minimal,True,"The caption names three specific reserves covering 318,480 ha and frames them as working landscapes where biodiversity thrives, but no landscape, habitat, or wildlife imagery from any of the three sites is shown. A single representative shot of NamibRand, ProNamib, or Canyon Nature Park would have grounded the abstract OECM claim visually. The certificate-handshake photo conveys the institutional event but not the conservation outcome being celebrated."
competition announcement,high,invite,"Focus on two to three Sustainable Development Goals of your choice, and don't forget to use examples from your community.",none,text-carrier,repeats,youth,identity|social-normative,,promotional,"The image is a fully self-contained promotional flyer that restates all key information from the caption (topic, deadline 19 Apr 2026, prize N$1,500, contact number). No nature imagery or species. The NYCE logo contains a stylised silhouette of large mammals (likely elephant) but too small to identify as a species claim. The competition is SDG-focused civic engagement, not conservation per se, though hosted by an environmental youth organisation.",DWn1ukqCqP6,competent,medium,none,n/a — no real people depicted; a hand-drawn illustration of a hand writing is present,,warm amber/ochre — inviting and youthful,text-dominant,False,The post is a designed flyer announcement; no specific visual claim in the caption goes unshown.
ambassador adoption pitch,high,invite,👉 https://www.naankuse.com/product-page/kovu,anecdote,illustrative,repeats,tourists|supporters|general-public,emotional|identity,cheetah,warm-personal,"Post is narrated entirely in first-person from the cheetah's perspective — a common 'character voice' format. The core structure is a rescue anecdote (pet trade → sanctuary rehabilitation → ambassador role) that culminates in a symbolic adoption CTA with a direct product URL. The image appears to be a video still of a young cub in grass — visually atmospheric but low-information: the animal is tiny in frame, partially hidden, and unidentifiable as Kovu specifically. It does not support the grown-ambassador narrative the caption builds. No humans appear despite the emotionally central mention of 'my favorite human, Marlice'. Production quality of the image is competent but the framing choice undersells the subject.",DXt_IDBD93L,competent,medium,none,none visible,"cheetah (cub, partially obscured in grass)","muted green-grey savanna, soft natural light, subdued and atmospheric",none,True,"The caption claims Kovu became 'the largest male cheetah Naankuse has ever seen' and describes a fully grown, imposing ambassador animal — but the image shows what appears to be a very small cheetah cub barely visible and largely obscured in tall grass at long distance. The caption explicitly references 'younger days' footage in a video, suggesting this still is a thumbnail from that footage rather than a portrait of Kovu today. A close-up of adult Kovu, ideally showing his size or a moment with his camp companions Athena and Roadie, would substantiate the 'largest male' and 'ambassador' claims the caption builds toward."
content series announcement,high,announce,visit youtube.com/ccfcheetah,none,text-carrier,repeats,general-public|supporters,emotional|aesthetic,cheetah,promotional,"The cheetah cub is a high-quality close-up portrait used as an attention hook rather than as a content-relevant image; the cub has no thematic link to Somaliland or communal conservancies. The branded overlay ('CHEETAH TV IS BACK TODAY!' + YouTube logo) turns the photo into a promotional graphic. The episode topic (community conservation, Somaliland's first conservancies) is substantive policy content, yet the visual defaults to baby-animal appeal — a common pattern of using charismatic megafauna to drive clicks regardless of episode subject matter.",DXuRr8pGfJ_,professional,medium,none,not present,cheetah,"warm golden-brown, natural bush tones with high-contrast black banner overlay",moderate,True,"The caption announces a discussion about community conservation in Somaliland and its first communal conservancies — a policy/people story — but the image shows a cheetah cub with no connection to Somaliland, community conservancies, or the episode's guests. A still from the episode, a map, or portraits of the three guests would have illustrated the actual content being promoted."
consultant recruitment notice,high,recruit,Scan the QR code to access the TOR and the application email address.,none,text-carrier,repeats,peers/researchers,informational,elephant,institutional-formal,"The graphic uses an AI-generated image of an elephant seated in an office chair as a visual hook, but the post's function is purely a call-for-proposals notice directed at professional consultants. The elephant is decorative/symbolic (wildlife-meets-professional-world) rather than informational. There is a typo on the image ('OPPURTUNITY'). The caption and image text are fully redundant. No conservation narrative or emotional appeal is present; the register is that of a procurement announcement.",DQ33W_MDIWT,competent,medium,none,none,African elephant,neutral grey and white with bold black typography; AI-generated elephant adds a slightly surreal accent,text-dominant,False,"The post is a job-notice graphic; no specific showable claim (statistic, location, before/after) is made in the caption that the image ignores. The elephant-in-office imagery is a deliberate stylistic choice, not a missed factual illustration."
survey participation call,high,invite,Scan the QR code to participate and stand a chance to win 1 of 28 N$ 500 cash vouchers.,explainer/list,text-carrier,repeats,"general-public, youth","informational, economic",,institutional-formal,"The post is a designed promotional flyer recruiting Namibians to complete an online survey run jointly by NYCE and NCE. Its primary function is participation solicitation, not conservation advocacy or persuasion about a specific environmental stance. The incentive (N$14,000 prize pool) is prominently featured as an economic hook. The image fully duplicates the caption content; no wildlife imagery or environmental visuals appear — consistent with the civic/policy character of the post. The faint giraffe/elephant watermark behind the QR code is decorative branding rather than informative content.",DRQ69T9ir4N,competent,medium,none,none visible,,"gold/ochre and white with red accent — civic, energetic",text-dominant,False,The post is a recruitment/participation flyer; no specific showable environmental claim is made in the caption that the graphic omits.
